N B T
10000 4 0.00898141
10000 8 0.0083166
10000 12 0.00774392
10000 16 0.00889135
10000 20 0.00770067
10000 24 0.00748348
10000 28 0.00718571
10000 32 0.00756543
10000 36 7.4148e-05
10000 40 7.3393e-05
10000 44 7.5015e-05
10000 48 7.4188e-05
10000 52 7.1479e-05
10000 56 7.367e-05
10000 60 7.2088e-05
10000 64 7.4461e-05
10000 68 6.9043e-05
10000 72 7.3202e-05
10000 76 7.1944e-05
10000 80 7.3722e-05
10000 84 7.3584e-05
10000 88 7.4745e-05
10000 92 7.3815e-05
10000 96 7.3856e-05
10000 100 7.3225e-05
10000 104 7.2495e-05
10000 108 7.457e-05
10000 112 7.3839e-05
10000 116 7.095e-05
10000 120 7.4979e-05
10000 124 6.8233e-05
10000 128 7.3722e-05
10000 132 7.3505e-05
10000 136 7.4505e-05
10000 140 7.3276e-05
10000 144 7.3786e-05
10000 148 7.4823e-05
10000 152 6.9015e-05
10000 156 7.5084e-05
10000 160 7.1344e-05
10000 164 7.4208e-05
10000 168 7.2559e-05
10000 172 7.4975e-05
10000 176 6.7825e-05
10000 180 7.2363e-05
10000 184 7.002e-05
10000 188 7.4752e-05
10000 192 7.4282e-05
10000 196 6.9501e-05
10000 200 7.3774e-05
10000 204 7.3317e-05
10000 208 7.1535e-05
10000 212 6.9171e-05
10000 216 7.372e-05
10000 220 7.4659e-05
10000 224 7.4507e-05
10000 228 7.4359e-05
10000 232 7.0307e-05
10000 236 7.419e-05
10000 240 7.3816e-05
10000 244 7.2256e-05
10000 248 6.8658e-05
10000 252 7.35e-05
10000 256 7.4077e-05
10000 260 7.429e-05
10000 264 7.4601e-05
10000 268 7.38e-05
10000 272 7.4529e-05
10000 276 7.3144e-05
10000 280 7.216e-05
10000 284 6.8921e-05
10000 288 7.3871e-05
10000 292 7.4114e-05
10000 296 7.4521e-05
10000 300 7.3969e-05
10000 304 7.3204e-05
10000 308 7.0847e-05
10000 312 7.2752e-05
10000 316 7.2729e-05
10000 320 6.7e-05
10000 324 7.3198e-05
10000 328 7.259e-05
10000 332 7.3375e-05
10000 336 7.4083e-05
10000 340 7.0108e-05
10000 344 7.4002e-05
10000 348 7.4465e-05
10000 352 6.9867e-05
10000 356 7.2569e-05
10000 360 7.3796e-05
10000 364 7.4135e-05
10000 368 7.3332e-05
10000 372 6.9457e-05
10000 376 7.1426e-05
10000 380 7.3943e-05
10000 384 7.0084e-05
10000 388 7.4603e-05
10000 392 7.8092e-05
10000 396 7.2479e-05
10000 400 7.3192e-05
10000 404 7.3726e-05
10000 408 7.2919e-05
10000 412 7.215e-05
10000 416 7.341e-05
10000 420 7.3788e-05
10000 424 7.8541e-05
10000 428 7.4868e-05
10000 432 7.4633e-05
10000 436 8.0937e-05
10000 440 7.3715e-05
10000 444 8.8285e-05
10000 448 7.1863e-05
10000 452 7.0578e-05
10000 456 8.0228e-05
10000 460 6.8717e-05
10000 464 7.9895e-05
10000 468 7.5631e-05
10000 472 7.3883e-05
10000 476 7.3995e-05
10000 480 7.4366e-05
10000 484 7.4793e-05
10000 488 7.7895e-05
10000 492 7.4793e-05
10000 496 6.9279e-05
10000 500 7.2567e-05
10000 504 7.293e-05
10000 508 7.3448e-05
10000 512 7.3897e-05
