flops,p1,p2,elapsed time
134217728,0,27,0.259478
134217728,1,26,0.206894
134217728,2,25,0.195754
134217728,3,24,0.19373
134217728,4,23,0.20385
134217728,5,22,0.270916
134217728,6,21,0.259456
134217728,7,20,0.257798
134217728,8,19,0.254783
134217728,9,18,0.254353
134217728,10,17,0.258483
134217728,11,16,0.253773
134217728,12,15,0.256571
134217728,13,14,0.263685
134217728,14,13,0.262502
134217728,15,12,0.261986
134217728,16,11,0.265187
134217728,17,10,0.271375
134217728,18,9,0.317958
134217728,19,8,0.297031
134217728,20,7,0.434902
134217728,21,6,0.512894
134217728,22,5,0.375142
134217728,23,4,0.556939
134217728,24,3,0.521503
134217728,25,2,0.38694
134217728,26,1,0.459889
